"corpus","word_length","n_words","ngram","trigram","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8"
"subtlex_uk",9,17911,"trigram","RHT","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHU","token",0,0,0,15.9999999999998,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHV","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHW","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHX","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RHY","token",13,0,0,9.9999999999999,4.99999999999995,0,0,NA
"subtlex_uk",9,17911,"trigram","RHZ","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RIA","token",0,921.999999999999,2442.99999999999,2192.99999999999,4067.99999999999,16596,469.999999999999,NA
"subtlex_uk",9,17911,"trigram","RIB","token",2.99999999999998,602.000000000002,2036.99999999999,282.999999999997,10896.0000000001,444,0,NA
"subtlex_uk",9,17911,"trigram","RIC","token",132,2718,293.000000000001,9246.00000000005,1261.00000000001,3939,1788,NA
"subtlex_uk",9,17911,"trigram","RID","token",237,145.000000000001,9.00000000000002,1125.00000000001,6486.99999999998,34.0000000000001,1.99999999999998,NA
"subtlex_uk",9,17911,"trigram","RIE","token",4.00000000000001,1255,1713.99999999999,2239,5021.99999999995,37072.9999999999,612,NA
"subtlex_uk",9,17911,"trigram","RIF","token",0,1064.99999999999,95.9999999999994,6947.00000000002,88.9999999999995,188,6.00000000000005,NA
"subtlex_uk",9,17911,"trigram","RIG","token",532.999999999999,3375,254,1861.00000000002,809.000000000001,0,11.0000000000001,NA
"subtlex_uk",9,17911,"trigram","RIH","token",0,0,0,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RII","token",0,0,18,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RIJ","token",0,0,246.000000000002,0,0,0,0,NA
"subtlex_uk",9,17911,"trigram","RIK","token",0,0,167,14.0000000000001,1.99999999999998,41.0000000000004,0,NA
"subtlex_uk",9,17911,"trigram","RIL","token",8.0000000000001,43960,1111.99999999999,164.999999999999,348.999999999998,1428.99999999999,0,NA
"subtlex_uk",9,17911,"trigram","RIM","token",13,5661.00000000001,566,443.999999999999,2.99999999999998,0,0,NA
"subtlex_uk",9,17911,"trigram","RIN","token",60.0000000000002,6261.00000000001,3991.00000000001,692.000000000001,1445,68952,74.9999999999999,NA
"subtlex_uk",9,17911,"trigram","RIO","token",7.99999999999992,8.99999999999996,15927.0000000001,665.000000000005,4494.99999999999,651,6.99999999999993,NA
"subtlex_uk",9,17911,"trigram","RIP","token",10.0000000000001,257.999999999998,1082,0,0,107,1.99999999999998,NA
