"corpus","sequence_length","n_sequences","ngram","phoneme","method","pos1","pos2","pos3","pos4","pos5","pos6","pos7","pos8","pos9","pos10","pos11","pos12"
"CMU",5,25923,"phoneme","NG","type",0,45,284,146,1070,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","P","type",1335,328,657,405,190,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","R","type",1402,1863,2352,710,344,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","S","type",2511,209,1700,651,1906,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","SH","type",663,49,352,139,177,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","T","type",963,615,1528,1336,1826,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","TH","type",135,23,149,57,86,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","V","type",436,125,648,225,91,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","W","type",889,349,232,114,0,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","Y","type",301,178,56,148,1,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","Z","type",225,49,564,254,3408,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","ZH","type",19,1,31,16,5,NA,NA,NA,NA,NA,NA,NA
"CMU",5,25923,"phoneme","Q","type",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","AA","type",384,2644,591,1050,468,73,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","AE","type",509,2307,717,285,389,0,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","AH","type",535,2288,757,2551,4966,1695,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","AO","type",188,1187,215,321,379,53,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","AW","type",79,230,105,88,155,26,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","AY","type",80,797,290,285,589,61,NA,NA,NA,NA,NA,NA
"CMU",6,27205,"phoneme","EH","type",509,2487,668,840,810,4,NA,NA,NA,NA,NA,NA
